fn_num,fn_type,status,fn_text,matched_ref
72,,,"Steyerl, ""In Defense of the Poor Image,"" 8.",
73,,,"Steyerl, Poor Image, 8.",
74,,,본 고에서 주장하는 내용이다.,
75,,,"Steyerl, ""In Defense of the Poor Image,"" https://www.e-flux.com/journal/10/61362/in-defense-of-the-poor-image.",
76,,,"앙드레 바쟁, 『영화란 무엇인가』, 김종원 역 (서울: 문학과지성사, 2000), 25.",
77,,,"Steyerl, ""In Defense of the Poor Image.""",
78,,,"Steyerl, ""In Defense of the Poor Image.""",
79,,,"Casetti, Lumière Galaxy, 21–23. 본 연구에서 정의하는 개념으로, 비표준 기술(아이폰)의 선택이 제도적 공간(미술관)으로의 진입과 결합하여, 전통적인 시네마의 장치론적 통제와 고화질 미학으로부터 창작 자율성을 확보하려는 이중적 탈영토화 전략을 의미한다.",
80,,,"들뢰즈·가타리, 『천 개의 고원』. 본고에서 사용한 '기술-전략적 결합체'는 들뢰즈와 가타리의 '기계적 배치(machinic assemblage)' 개념을 비판적으로 변용한 것이다. '배치'가 이질적인 요소들이 맺는 역동적인 관계망을 의미한다면, '기술-전략적 결합체'는 아이폰이라는 기술적 요소가 박찬욱이라는 창작 주체의 제도비평적 '전략'과 결합하여, 기존 영화 시스템의 영토에 균열을 내고 새로운 창작의 가능성을 모색하는 특수한 작동 방식을 지칭한다.",
81,,,"유주연, 「박찬욱 감독의 첫 아이폰영화 파란만장」, 『매일경제』.",
82,,,"박찬욱은 제61회 베를린 영화제 황금곰상 단편영화 부문, 제44회 시체스 영화제 오피셜 놉스 비젼 최우수작품상을 수상했으며, KT 또한 이 영화를 통해 2011년 대한민국 광고제 대상, Spikes Asia Advertising Festival 은상 등 각종 국제광고제를 수상했다.",
83,,,"막스 호르크하이머·테오도어 W. 아도르노, 『계몽의 변증법: 철학적 단상』, 김유동 옮김 (서울: 문학과지성사, 2001). 「문화 산업: 대중 기만으로서의 계몽」 장에서, 예술은 자본의 논리로부터 자유롭기는커녕, 자본의 지배를 정당화하고 재생산하는 핵심적인 도구임을 주장한다.",
84,,,"고티에 테오필, 모팽 양, 권유현 (열림원, 2020).",
